host,id,status
ubuntu-desktop-2404-vdi-20260609,120,REPROVADO
ubuntu-desktop-2404-vdi-20260609,121,REPROVADO
ubuntu-desktop-2404-vdi-20260609,122,REPROVADO
ubuntu-desktop-2404-vdi-20260609,123,REPROVADO
ubuntu-desktop-2404-vdi-20260609,124,REPROVADO
ubuntu-desktop-2404-vdi-20260609,125,REPROVADO
ubuntu-desktop-2404-vdi-20260609,126,REPROVADO
ubuntu-desktop-2404-vdi-20260609,127,REPROVADO
ubuntu-desktop-2404-vdi-20260609,128,REPROVADO
ubuntu-desktop-2404-vdi-20260609,129,REPROVADO
ubuntu-desktop-2404-vdi-20260609,130,REPROVADO
ubuntu-desktop-2404-vdi-20260609,131,REPROVADO
ubuntu-desktop-2404-vdi-20260609,132,REPROVADO
ubuntu-desktop-2404-vdi-20260609,133,APROVADO
ubuntu-desktop-2404-vdi-20260609,134,REPROVADO
ubuntu-desktop-2404-vdi-20260609,135,REPROVADO
ubuntu-desktop-2404-vdi-20260609,136,REPROVADO
ubuntu-desktop-2404-vdi-20260609,137,REPROVADO
ubuntu-desktop-2404-vdi-20260609,138,APROVADO
ubuntu-desktop-2404-vdi-20260609,139,REPROVADO
ubuntu-desktop-2404-vdi-20260609,140,REPROVADO
ubuntu-desktop-2404-vdi-20260609,141,REPROVADO
ubuntu-desktop-2404-vdi-20260609,142,REPROVADO
ubuntu-desktop-2404-vdi-20260609,143,REPROVADO
ubuntu-desktop-2404-vdi-20260609,144,REPROVADO
ubuntu-desktop-2404-vdi-20260609,145,APROVADO
ubuntu-desktop-2404-vdi-20260609,146,REPROVADO
ubuntu-desktop-2404-vdi-20260609,147,APROVADO
ubuntu-desktop-2404-vdi-20260609,148,APROVADO
ubuntu-desktop-2404-vdi-20260609,149,APROVADO
ubuntu-desktop-2404-vdi-20260609,150,APROVADO
ubuntu-desktop-2404-vdi-20260609,151,REPROVADO
ubuntu-desktop-2404-vdi-20260609,152,REPROVADO
ubuntu-desktop-2404-vdi-20260609,153,REPROVADO
ubuntu-desktop-2404-vdi-20260609,154,REPROVADO
